Question,Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Answers(411)
How do I get an absentee ballot if I am overseas or serving in the military outside my home state?,"The Uniformed and Overseas Citizens Absentee Voting Act (UOCAVA) provides for certain provisions to assist voters in these categories to receive and return their absentee ballot in time to be counted on election day. UOCAVA Voters - Please contact your Circuit Clerk to request an absentee ballot for any upcoming special elections your County may be having this year. Contact information for County Circuit Clerks is available at - https://www.sos.ms.gov/elections-voting/county-election-information. Contact our office if you have any questions about upcoming elections - UOCAVA@sos.ms.gov, 1-800-829-6786",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You are a Military or Overseas voter if you are in uniformed services, living overseas OR a spouse or dependent of a uniformed services voter. To get registered and vote, you can utilize Overseas Vote Foundation. If you have additional questions about elections and voting overseas you can use our state specific elections official directory or contact the Overseas Vote Foundation. (https://www.overseasvotefoundation.org/about-contact) (https://www.overseasvotefoundation.org/about-contact)"
Who are my elected officials?,Refer to the list of clerk's contact information - https://www.sos.ms.gov/elections-voting/county-election-information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Can I do early voting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Early voting does not exist in Mississippi. However, if you would like to vote absentee in person please go to your Circuit Clerk's office�to cast your ballot�(office hours vary, check with your local clerk's office). (https://absentee.vote411.org/vote/eoddomestic.htm)"
How do I know if I am eligible to vote?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"To be eligible to vote you must be: A resident of Mississippi for 30 days before the election At least 18 years old, or will be 18 by the next General Election Not declared mentally incompetent by a court Not convicted of a disenfranchising crime "
What documents/id do I need for voter registration?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You will need to provide your driver's license number or the last 4 digits of your Social Security number on your voter registration form. If you do not have a driver's license number or Social Security number and you are registering by mail for the first time, you must include another form of ID with your application. Acceptable forms of ID are: A copy of current valid photo identification A copy of a current utility bill, bank statement, government check, paycheck, or other government document showing your name and address Once you are registered, you generally remain registered indefinitely, unless you move or no longer meet one of the qualifications to vote. (http://www.sos.ms.gov/links/elections/voter_information_center/tab1/Voter_Registration.pdf) "
What documents/id do I need during voting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Photo ID is required in order to vote. Expired photo IDs are acceptable as long as they are not more than 10 years old. Acceptable forms of ID are: A driver's license Photo ID card issued by a branch, department or entity of the State of Mississippi US passport Government employee ID card Firearms license Student photo ID issued by an accredited Mississippi university, college or community/junior college US military ID Tribal photo ID Any other photo ID issued by any branch, department, agency or entity of the US governemtn or any state government Mississippi Voter ID Card If you do not have any of these forms of ID, you can obtain a Mississippi Voter ID Card at no cost. You can apply for a Mississippi Voter ID card at any Circuit Clerk's office during normal business hours. Or call 1-855-868-3745 for more information. Voters can call or text 844-338-8743 at any time to reach VoteRiders Voter ID Helpline"
When will the election results be available?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Official results are never available on Election Day.�Election officials are working around the clock to count an unprecedented number of ballots, and it�s essential that they take the time to make sure every vote is counted. Absentee ballots begin being counted on Election Day. Provisional ballots are counted 5 days after the election. Official election results will be uploaded on Mississippi�s Secretary of State�website�as they become available. Official Results (https://www.sos.ms.gov/elections-voting/election-results) (https://www.sos.ms.gov/elections-voting/election-results) "
What technolgies are used for voting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"he voting systems used in Mississippi are DRE and paper ballots. Direct Recording Electronic (DRE): This is the newest kind of system in use in the U.S. All the information about who and what you are voting for is on an electronic screen like a TV or computer screen. There are many variations of DREs because lots of companies are inventing new ones, and many cities, counties and states are trying them out. Usually, after you have signed in, the poll workers will give you a card that you slide into a device to start your voting session. Some of these devices will show all of the candidates and ballot choices on one big screen. Often, with these big screen devices you push a button next to the name of the candidate you want to vote for (or yes or no on a ballot measure). On other DREs, the screen is set up to show pages. On each screen or page, there will probably be one thing to vote on. For example, on one screen or page, you might vote for president. Then you might move to the next page to vote for senator. Often these small-screen devices have a touch screen, where you touch the screen next to the name of the person you want to vote for. Other devices have a key pad. And some have a keyboard, so you can write in the name of someone you want to vote for. You let the system know you are finished voting by pushing a button, touching the screen or entering something on a keypad. Paper Ballots: Paper ballots are one of the oldest ways of voting in America. They are still used in a few places on Election Day. When you come to the polling place, you will get a paper ballot from the poll worker. You take it to the voting booth, and use a pen or pencil to mark a box next to your candidate and issue choices. You then drop the marked ballot into a sealed ballot box. You can learn more about voting systems by checking out the Elections Assistance Commission's (EAC) resource. (http://www.eac.gov/testing_and_certification/voluntary_voting_system_guidelines.aspx)"
What is the time off to vote?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Time off to vote is subject to the employer, there is no requirement for employers to grant time off to vote for employees. "
What are the provisions for voters with disabilities?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"If you are permanently disabled, you can register to be on the voter disabled list and will automatically be sent a ballot. To register as a disabled citizen, you must get a signed statement from your physician stating you are permanently disabled. The new voting machines provide accessible voting for many disabled. If necessary, you can choose a person to assist you with your voting. For more information, you can utilize the American Association of People With Disabilities (AAPD) resource. (http://www.aapd.com/what-we-do/voting/)"
What count as provisional voting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Known as an affidavit ballot, voters whose names do not appear in the poll book or do not have an acceptable form of ID are entitled to vote by affidavit ballot. A voter who did not present photo ID because of a religious objection is entitled to have their ballot counted if they complete an Affidavit of Religious Objection in the Circuit Clerk's office within 5 business days after the election. A voter who did not present photo ID is entitled to have their ballot counted if they present photo ID in the Circuit Clerk's office within 5 business days after the election. Provisional Ballots are counted 5 business days after the election."
How does the primary election process look like?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Mississippi is an �open primary� state. You can choose the party�s ballot you wish to vote. This decision does not register you with that party and it is a private decision. In a primary election if a candidate does not with the majority of the votes (50%+1) there will be a primary runoff election scheduled for a few weeks after the primary election date. The runoff election will have the top two candidates with the most votes to ensure that one of them receives the majority of the voters. If you have any questions about your state�s primary election, please contact your local election officials. (https://absentee.vote411.org/vote/eoddomestic.htm)"
Where is the polling place located?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You can find your polling place by utilizing your state resource. If you have further questions on your polling place location, please contact your county clerk. (https://www.sos.ms.gov/elections-voting/polling-place-locator) (https://absentee.vote411.org/vote/eoddomestic.htm)"
How long will the polling take place?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polls will be open from 7:00 am to 7:00 pm. 
How do I become a poll worker ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"You can make sure we have safe, fair, and efficient elections for all. Become a poll worker today! In order to be a poll worker in Mississippi, you must: Be registered to vote in Mississippi Be entitled to compensation Be at least 18 years of age Be a resident of the county Complete required training Students 16 or older who are enrolled in high school and have residency in the county or municipality may work with a recommendation from the principal To sign up, contact your local board of elections. (https://powerthepolls.org/lwv ) (https://absentee.vote411.org/vote/eoddomestic.htm) (https://www.overseasvotefoundation.org/vote/election-official-directory)"
Where can I find campaign finance information ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"For information on federal campaign contributions, please visit Open Secrets.
For information on state campaign contributions, please visit your state's resource.


(http://www.opensecrets.org)
(https://www.sos.ms.gov/elections-voting/campaign-finance)
"
How do I access candidate and ballot measure information ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Information on local, state and federal candidates and ballot measures may be available here. To see a list of available races, visit the race index. (http://www.vote411.org/ballot#.UFoDEFHh-Sp) (http://onyourballot.vote411.org/race-index.do#.VQrzW-HG-ar)"
Are drop boxes available during voting?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No drop boxes are available.
When is the next election ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The next election date can be found here https://www.vote411.org/mississippi. Contact your local Board of Elections for more information. (https://www.vote411.org/mississippi) (https://absentee.vote411.org/vote/eoddomestic.htm)
